Unnamed: 0,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL,Hijri_Month
340,P48724,ترميم منازل المتعففين,315000,2024-09-13,7,المواطنون,21941,جمعية التكافل النسائية بجازان,جازان,https://ehsan.sa/projects/0/47725?amount=null,ربيع الأول
341,P48700,عربات بيع الطعام للأسر المتعففة,180000,2024-09-13,4,المواطنون,14217,جمعية إمباري التطوعية,عقلة الصقور,https://ehsan.sa/projects/0/47701?amount=null,ربيع الأول
342,P48698,الأجهزة الكهربائية للمتعففين,203370,2024-09-13,98,المواطنون,15620,جمعية البر الخيرية بالرين,الرين,https://ehsan.sa/projects/0/47699?amount=null,ربيع الأول
343,P48726,السلال الغذائية للأسر المتعففة,150000,2024-09-12,234,المواطنون والمقيمون بالمملكة,12216,الخدمات الانسانية بمركز آل مشعان ابن عديس,عشيرة,https://ehsan.sa/projects/0/47727?amount=null,ربيع الأول
344,P48729,دعم المقبلين على الزواج,50000,2024-09-11,5,المواطنون,4017,جمعية البر الخيرية بالحيد,الحيد,https://ehsan.sa/projects/0/47730?amount=null,ربيع الأول
345,P48734,الأجهزة الطبية للمرضى المتعففين,100000,2024-09-11,50,المواطنون والمقيمون بالمملكة,9123,جمعية أصدقاء المرضى بمحافظة الرس,الرس,https://ehsan.sa/projects/0/47735?amount=null,ربيع الأول
346,P48732,المستلزمات المدرسية للطلاب,31500,2024-09-11,105,المواطنون,1198,عطاء العجلية للخدمات الانسانية,الأفلاج,https://ehsan.sa/projects/0/47733?amount=null,ربيع الأول
347,P48735,سقيا الماء للأسر المتعففة,200000,2024-09-10,200,المواطنون والمقيمون بالمملكة,8085,جمعية بذل للخدمات الإنسانية,الطائف,https://ehsan.sa/projects/0/47738?amount=null,ربيع الأول
348,P48725,الرعاية الصحية للمرضى المتعففين,240000,2024-09-10,480,المواطنون,17897,جمعية نبض الحياة الصحية بمحافظة بقعاء,بقعاء,https://ehsan.sa/projects/0/47726?amount=null,ربيع الأول
349,P48722,إكرام الموتى,100000,2024-09-10,20,المواطنون والمقيمون بالمملكة,9258,جمعية الجوف لإكرام الموتى,الجوف,https://ehsan.sa/projects/0/47723?amount=null,ربيع الأول
350,P48720,دعم المقبلين على الزواج,70000,2024-09-09,7,المواطنون,3252,الجمعية الخيرية بالقويعية,القويعية,https://ehsan.sa/projects/0/47722?amount=null,ربيع الأول
351,P48699,كفالة الأرامل والمطلقات,316800,2024-09-09,44,المواطنون,23742,جمعية وثيلان الخيرية,ساجر,https://ehsan.sa/projects/0/47700?amount=null,ربيع الأول
352,P48705,غرس الأشجار,100000,2024-09-08,15000,المواطنون,13957,جمعية التنمية الإجتماعية ببني حسن,بني حسن,https://ehsan.sa/projects/0/47706?amount=null,ربيع الأول
353,P48715,سداد إيجار منازل الأسر المتعففة,300000,2024-09-08,60,المواطنون,25191,جمعية البر الخيرية بوادي ليه,السر,https://ehsan.sa/projects/0/47716?amount=null,ربيع الأول
354,P48690,الكفالة التعليمية للطلاب المتعففين,330000,2024-09-08,3000,المواطنون والمقيمون بالمملكة,21921,جمعية البرهان لخدمة السنة والقران,الرياض,https://ehsan.sa/projects/0/47692?amount=null,ربيع الأول
355,P48718,حلقات تحفيظ القرآن الكريم للسجناء,360000,2024-09-07,12,المواطنون,50632,جمعية تحفيظ القرآن الكريم بالرياض مكنون,الرياض,https://ehsan.sa/projects/0/47719?amount=null,ربيع الأول
356,P48719,المستلزمات المدرسية للطلاب,176000,2024-09-07,400,المقيمون بالمملكة,20837,جمعية الصفا الخيرية للخدمات الاجتماعية,صفوى,https://ehsan.sa/projects/0/47720?amount=null,ربيع الأول
357,P48716,ترميم مساكن الأسر المتعففة,225000,2024-09-06,15,المواطنون,22342,جمعية سين للإسكان التنموي,الرياض,https://ehsan.sa/projects/0/47717?amount=null,ربيع الأول
358,P48703,السلال الغذائية للأسر المتعففة,200000,2024-09-06,221,المواطنون والمقيمون بالمملكة,14859,جمعية زاد لحفظ النعمة بالمجمعة,المجمعة,https://ehsan.sa/projects/0/47704?amount=null,ربيع الأول
359,P48676,تأثيث منازل الأسر المتعففة,250000,2024-09-06,25,المواطنون,16825,جمعية داعم للاسكان التنموي,حائل,https://ehsan.sa/projects/0/47677?amount=null,ربيع الأول
360,P48714,المستلزمات الطبية للمرضى المتعففين,245000,2024-09-06,306,المواطنون والمقيمون بالمملكة,17657,الامير مشعل بن عبدالله لذوي الاحتياجات الخاصة شمعة أمل,نجران,https://ehsan.sa/projects/0/47715?amount=null,ربيع الأول
361,P48708,كفالة دعاة الجاليات,35000,2024-09-06,2,المواطنون والمقيمون بالمملكة,3759,جمعية الدعوة والإرشاد وتوعية الجاليات بمحافظة بلقرن,بلقرن,https://ehsan.sa/projects/0/47714?amount=null,ربيع الأول
362,P48706,التكفل بالعمرة للمتعففين,96000,2024-09-04,120,المواطنون والمقيمون بالمملكة,12032,جمعية الدعوية التوعوية في الأفلاج,الأفلاج,https://ehsan.sa/projects/0/47707?amount=null,ربيع الأول
363,P48717,سقيا الماء للأسر المتعففة,200000,2024-09-04,670,المواطنون والمقيمون بالمملكة,23166,جمعية البر الأهلية ببني كبير,بني كبير,https://ehsan.sa/projects/0/47718?amount=null,ربيع الأول
364,P48701,دعم المقبلين على الزواج,70000,2024-09-03,7,المواطنون,6302,جمعية قرن ظبي الخيرية للخدمات الاجتماعية,قرن ظبي,https://ehsan.sa/projects/0/47702?amount=null,صفر
365,P48707,الحقيبة المدرسية للطلاب المتعففين,105000,2024-09-03,300,المواطنون,13398,جمعية التنمية الاهلية بشمال سكاكا,سكاكا,https://ehsan.sa/projects/0/47708?amount=null,صفر
366,P48704,سقيا الماء للأسر المتعففة,72000,2024-09-02,45,المواطنون,6698,جمعية الخدمات الإنسانية بأم القلبان,حائل,https://ehsan.sa/projects/0/47705?amount=null,صفر
367,P48702,إعانة أسر السجناء,15000,2024-09-01,3,المواطنون,1669,جمعية البر الخيرية بوادي ليه,الطائف,https://ehsan.sa/projects/0/47703?amount=null,صفر
368,P48689,المنح الدراسية للطلاب المتعففين,500000,2024-09-01,13,المواطنون,30160,جمعية دعم التعليم تعلم,الرياض,https://ehsan.sa/projects/0/47690?amount=null,صفر
369,P48645,ترميم مساكن الأسر المتعففة,375000,2024-09-01,15,المواطنون,25778,جمعية نمو السكني بعقلة الصقور,عقلة الصقور,https://ehsan.sa/projects/0/47646?amount=null,صفر
370,P48677,توفير المساكن للطلاب,160000,2024-09-01,96,المقيمون بالمملكة,12328,جمعية النخب العلمية,بريدة,https://ehsan.sa/projects/0/47678?amount=null,صفر
371,P48695,غرس الأشجار,100000,2024-09-01,10000,المواطنون والمقيمون بالمملكة,13548,العناية بالبيئة في الافلاج,الأفلاج,https://ehsan.sa/projects/0/47696?amount=null,صفر
372,P48644,دعم الأسر المنتجة,85000,2024-09-01,49,المواطنون,7649,جمعية التنمية الأهلية بصمخ,بيشة,https://ehsan.sa/projects/0/47645?amount=null,صفر
373,P48696,كفالة الأرامل والمطلقات,282000,2024-09-01,47,المواطنون,19385,جمعية البر الخيرية بالأضارع,الأضارع,https://ehsan.sa/projects/0/47697?amount=null,صفر
374,P48697,الزي المدرسي للطلاب المتعففين,150000,2024-08-31,300,المواطنون,11109,جمعية ارطاوي الرقاص الاهلية,ساجر,https://ehsan.sa/projects/0/47698?amount=null,صفر
375,P48694,التكفل بالعمرة للمتعففين,49000,2024-08-30,980,المواطنون والمقيمون بالمملكة,3462,جمعية الدعوة والارشاد وتوعية الجاليات بالفرعة ببني سار,بني سار,https://ehsan.sa/projects/0/47695?amount=null,صفر
376,P48683,تموين الأسر المتعففة,300000,2024-08-30,10000,المواطنون والمقيمون بالمملكة,18110,جمعية حفظ النعمة,نجران,https://ehsan.sa/projects/0/47684?amount=null,صفر
377,P48692,سقيا الماء للأسر المتعففة,400000,2024-08-30,2000,المواطنون,31525,الجمعية الخيرية بمحايل عسير,محايل عسير,https://ehsan.sa/projects/0/47693?amount=null,صفر
378,P48693,التكفل بالعمرة للمتعففين,203000,2024-08-30,290,المواطنون والمقيمون بالمملكة,17120,جمعية الدعوة والإرشاد وتوعية الجاليات بصناعية نجران إشراقة,نجران,https://ehsan.sa/projects/0/47694?amount=null,صفر
379,P48641,غرس الأشجار,150000,2024-08-30,10000,المواطنون والمقيمون بالمملكة,14103,جمعية التنمية الأهلية بالمضايا,المضايا,https://ehsan.sa/projects/0/47642?amount=null,صفر
380,P48687,كفالة دعاة الجاليات,72000,2024-08-29,2,المقيمون بالمملكة,6488,جمعية الدعوة والإرشاد وتوعية الجاليات بجنوب بيشة,بيشة,https://ehsan.sa/projects/0/47688?amount=null,صفر
381,P48688,كفالة دور التحفيظ النسائية,104000,2024-08-29,48,المواطنون والمقيمون بالمملكة,7888,جمعية تحفيظ القران الكريم في محافظة المجاردة,المجاردة,https://ehsan.sa/projects/0/47689?amount=null,صفر
382,P48672,دعم المقبلين على الزواج,200000,2024-08-28,20,المواطنون,10190,جمعية الزواج والتنمية الأسرية بالطائف,الطائف,https://ehsan.sa/projects/0/47673?amount=null,صفر
383,P48669,الأجهزة الكهربائية للمتعففين,36758,2024-08-28,27,المواطنون,1876,جمعية البر الخيرية بيبس,يبس,https://ehsan.sa/projects/0/47671?amount=null,صفر
384,P48686,كفالة أمهات الأيتام,300000,2024-08-28,44,المواطنون والمقيمون بالمملكة,14404,جمعية رعاية الأيتام بالرس,الرس,https://ehsan.sa/projects/0/47687?amount=null,صفر
385,P48681,الحقيبة المدرسية للطلاب المتعففين,144200,2024-08-28,2060,المواطنون,6905,جمعية البر الخيرية بالمجمعة,المجمعة,https://ehsan.sa/projects/0/47682?amount=null,صفر
386,P48685,التكفل بالعمرة للمتعففين,40200,2024-08-28,288,المواطنون والمقيمون بالمملكة,2108,جمعية الدعوة والارشاد وتوعية الجاليات بتمير,تمير,https://ehsan.sa/projects/0/47686?amount=null,صفر
387,P48682,توفير صهاريج سقيا الماء,380000,2024-08-28,260,المواطنون والمقيمون بالمملكة,25099,جمعية الخدمات الإنسانية بمركز العفج,العفج بالرين,https://ehsan.sa/projects/0/47683?amount=null,صفر
388,P48652,الكفالة التعليمية للطلاب المتعففين,576000,2024-08-28,400,المواطنون,36446,جمعية البر الخيرية بالعلا,العلا,https://ehsan.sa/projects/0/47653?amount=null,صفر
389,P48671,إعانة أسر السجناء,216000,2024-08-27,11,المواطنون,12105,الجمعية الخيرية بالنبهانية,النبهانية,https://ehsan.sa/projects/0/47672?amount=null,صفر
390,P48684,التكفل بالعمرة للمتعففين,48000,2024-08-27,300,المواطنون والمقيمون بالمملكة,2534,جمعية الدعوة والإرشاد وتوعية الجاليات بمحافظة ضرماء,ضرماء,https://ehsan.sa/projects/0/47685?amount=null,صفر
391,P48680,الحقيبة المدرسية للطلاب المتعففين,90000,2024-08-27,1000,المواطنون,5148,جمعية التنمية الأهلية بمدينة الروضة,الروضة,https://ehsan.sa/projects/0/47681?amount=null,صفر
392,P48674,كفالة داعية,30000,2024-08-27,1,المقيمون بالمملكة,3025,جمعية الدعوة والإرشاد ونوعية الجاليات بمركز البشائر,البشائر,https://ehsan.sa/projects/0/47675?amount=null,صفر
393,P48643,كفالة الأرامل والمطلقات,384000,2024-08-27,80,المواطنون,24869,الجمعية الخيرية بمركز الحشرج,تربة,https://ehsan.sa/projects/0/47644?amount=null,صفر
394,P48678,السلال الغذائية للأسر المتعففة,196200,2024-08-27,109,المواطنون,12799,جمعية البر الخيرية بالهندية,الهندية,https://ehsan.sa/projects/0/47679?amount=null,صفر
395,P48675,الأجهزة الطبية للمرضى المتعففين,100000,2024-08-26,50,المقيمون بالمملكة,2977,جمعية أندى لخدمات الأجهزة الطبية,الدمام,https://ehsan.sa/projects/0/47676?amount=null,صفر
396,P48610,رعاية مرضى الروماتيزوم,301860,2024-08-26,43,المواطنون والمقيمون بالمملكة,24472,الجمعية الخيرية لرعاية مرضى الروماتيزم,الرياض,https://ehsan.sa/projects/0/47611?amount=null,صفر
397,P48673,التكفل بالعمرة للمتعففين,75000,2024-08-26,250,المواطنون والمقيمون بالمملكة,6254,جمعية التنمية الأهلية بمدينة الروضة,الروضة,https://ehsan.sa/projects/0/47674?amount=null,صفر
398,P48606,دعم الأسر المتعففة,398475,2024-08-26,693,المواطنون,27218,جمعية الروضة الخيرية,الروضة,https://ehsan.sa/projects/0/47607?amount=null,صفر
399,P48640,طباعة المصحف الشريف,1050000,2024-08-26,70000,المواطنون والمقيمون بالمملكة,97635,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47641?amount=null,صفر
400,P48679,سقيا الماء للأسر المتعففة,40000,2024-08-25,198,المواطنون,2353,جمعية الخدمات الانسانية بقناء,حائل,https://ehsan.sa/projects/0/47680?amount=null,صفر
401,P48655,المستلزمات المدرسية للطلاب,210000,2024-08-25,700,المواطنون,13326,جمعية التنمية الأهلية بالمضايا,المضايا,https://ehsan.sa/projects/0/47656?amount=null,صفر
402,P48660,السلال الغذائية للأسر المتعففة,346500,2024-08-24,693,المواطنون,19275,جمعية الروضة الخيرية,الروضة,https://ehsan.sa/projects/0/47661?amount=null,صفر
403,P48661,دعم حلقات تحفيظ القرآن الكريم,300000,2024-08-23,60,المواطنون,26860,الجمعية الخيرية لتحفيظ القرآن الكريم بشرورة,شرورة,https://ehsan.sa/projects/0/47662?amount=null,صفر
404,P48668,سقيا الماء للأسر المتعففة,105400,2024-08-23,141,المواطنون,8148,جمعية البر الخيرية بمركز الأحمر,الأحمر,https://ehsan.sa/projects/0/47669?amount=null,صفر
405,P48664,سقيا الماء لضيوف الرحمن,196000,2024-08-23,196000,المواطنون والمقيمون بالمملكة,17606,جمعية الماء المعين,النزهة - مكة المكرمة,https://ehsan.sa/projects/0/47665?amount=null,صفر
406,P48051,الرعاية الصحية للمرضى المتعففين,5000000,2024-08-22,500,المواطنون والمقيمون بالمملكة,241450,صندوق الوقف الصحي,الرياض,https://ehsan.sa/projects/0/47052?amount=null,صفر
407,P48662,سقيا الماء,102000,2024-08-22,170,المواطنون,9308,جمعية البر الخيرية بالعش,الشنان,https://ehsan.sa/projects/0/47663?amount=null,صفر
408,P48628,دعم المقبلين على الزواج,330000,2024-08-21,22,المواطنون,27622,جمعية البر الخيرية بالأخاشيم,الأخاشيم,https://ehsan.sa/projects/0/47630?amount=null,صفر
409,P48654,المستلزمات المدرسية للطلاب المتعففين,57200,2024-08-21,141,المواطنون,4881,جمعية البر الخيرية بمركز الأحمر,الأحمر,https://ehsan.sa/projects/0/47655?amount=null,صفر
410,P48584,صيانة أجهزة قوقعة الأذن للأطفال,450000,2024-08-20,100,المواطنون,30751,جمعية الأطفال زارعي القوقعة,الرياض,https://ehsan.sa/projects/0/47585?amount=null,صفر
411,P48647,السلال الغذائية للأسر المتعففة,237150,2024-08-19,527,المواطنون,16784,جمعية كحلا للخدمات الإنسانية,كحلا,https://ehsan.sa/projects/0/47648?amount=null,صفر
412,P48653,المستلزمات الدراسية لطلاب وطالبات الأسر المتعففة,45000,2024-08-19,150,المواطنون والمقيمون بالمملكة,2732,جمعية التنمية الأهلية بمزهرة,الحكامية,https://ehsan.sa/projects/0/47654?amount=null,صفر
413,P48651,الحقيبة المدرسية للطلاب المتعففين,44750,2024-08-18,179,المواطنون,2469,جمعية البر الخيرية بالخشيبي,بريدة,https://ehsan.sa/projects/0/47652?amount=null,صفر
414,P48642,تفريج كرب المتعففين,300000,2024-08-18,20,المقيمون بالمملكة,19591,جمعية قرن ظبي الخيرية للخدمات الاجتماعية,بني حسن,https://ehsan.sa/projects/0/47643?amount=null,صفر
415,P48639,التكفل بالعمرة لذوي الإعاقة,50000,2024-08-18,60,المواطنون,2998,جمعية قادرون للأشخاص ذوي الإعاقة بمحافظة شقراء,شقراء,https://ehsan.sa/projects/0/47640?amount=null,صفر
416,P48648,سقيا الماء,500000,2024-08-17,1000,المواطنون والمقيمون بالمملكة,42782,الجمعية الخيرية ببني سعد,بنى سعد,https://ehsan.sa/projects/0/47649?amount=null,صفر
417,P48646,تأثيث منازل المتعففين,144000,2024-08-17,24,المواطنون,5863,جمعية المكفوفين بينبع خطوة,ينبع,https://ehsan.sa/projects/0/47647?amount=null,صفر
418,P48649,المستلزمات الدراسية للطلاب,185000,2024-08-17,340,المقيمون بالمملكة,11586,جمعية العوامية الخيرية للخدمات الاجتماعية,العوامية,https://ehsan.sa/projects/0/47650?amount=null,صفر
419,P48650,الفسحة المدرسية لطلاب الأسر المتعففة,290500,2024-08-17,415,المواطنون,16949,جمعية البر الخيرية ببني حسن,بني حسن,https://ehsan.sa/projects/0/47651?amount=null,صفر
420,P48563,الأجهزة الكهربائية للمتعففين,179000,2024-08-16,88,المواطنون,12637,جمعية الخدمات الانسانية في نجخ الجنوبي,ضرية,https://ehsan.sa/projects/0/47564?amount=null,صفر
421,P48489,الكفالة التعليمية للطلاب المتعففين,1138500,2024-08-16,198,المواطنون,81776,معهد البحوث والدراسات الجامعة السعودية الإلكترونية,الرياض,https://ehsan.sa/projects/0/47490?amount=null,صفر
422,P48633,وجبات الطعام للأسر المتعففة,237600,2024-08-16,93,المواطنون,19480,جمعية أكرمها لحفظ النعمة بمنطقة الباحة,بني حسن,https://ehsan.sa/projects/0/47634?amount=null,صفر
423,P48631,رحلات العمرة للمتعففين,210000,2024-08-16,600,المواطنون والمقيمون بالمملكة,18984,جمعية الدعوة والإرشاد وتوعية الجاليات في سميراء,سميراء,https://ehsan.sa/projects/0/47632?amount=null,صفر
424,P48569,منافذ البيع للأرامل والمطلقات,297000,2024-08-16,9,المواطنون,20268,جمعية المودة للتنمية الأسرية,جدة,https://ehsan.sa/projects/0/47570?amount=null,صفر
425,P48600,تأثيث منازل المتعففين,225600,2024-08-16,47,المواطنون,19283,جمعية البر الخيرية بالخشيبي,بريدة,https://ehsan.sa/projects/0/47601?amount=null,صفر
426,P48626,ترميم مساكن الأسر المتعففة,380000,2024-08-15,13,المواطنون,30096,جمعية رعاية الايتام بمحافظة الحجرة,الحجرة,https://ehsan.sa/projects/0/47627?amount=null,صفر
427,P48634,السلال الغذائية للأسر المتعففة,300000,2024-08-15,1000,المواطنون,22696,جمعية البر الخيرية والخدمات الاجتماعية بمركز الواسطة,الواسطة,https://ehsan.sa/projects/0/47636?amount=null,صفر
428,P48636,سقيا الماء لضيوف الرحمن,500000,2024-08-15,500000,المواطنون والمقيمون بالمملكة,50257,جمعية البر الخيرية بالسويرقية,مكة المكرمة,https://ehsan.sa/projects/0/47637?amount=null,صفر
429,P48578,غرس الأشجار,201000,2024-08-15,8000,المواطنون والمقيمون بالمملكة,22296,جمعية البراري,تمير,https://ehsan.sa/projects/0/47580?amount=null,صفر
430,P48623,الفسحة المدرسية للطلاب والطالبات,300000,2024-08-14,600,المواطنون,32397,جمعية العون الخيرية,الطائف,https://ehsan.sa/projects/0/47624?amount=null,صفر
431,P48637,كفالة حفظة كتاب الله,45000,2024-08-12,15,المواطنون والمقيمون بالمملكة,2133,الجمعية الخيرية لتحفيظ القرآن الكريم في محافظة الطوال,الطوال,https://ehsan.sa/projects/0/47638?amount=null,صفر
432,P48630,تفريج كرب كبار السن,148800,2024-08-12,248,المواطنون,11106,جمعية إجلال للعناية بكبار السن بمركز الحكامية,الحكامية,https://ehsan.sa/projects/0/47631?amount=null,صفر
433,P48632,العمليات الجراحية للمتعففين,150000,2024-08-12,30,المواطنون والمقيمون بالمملكة,6618,ابتسامة الصحية,أبها,https://ehsan.sa/projects/0/47633?amount=null,صفر
434,P48611,السلال الغذائية للأسر المتعففة,300000,2024-08-11,87,المواطنون,21641,الجمعية الخيرية بمركز الحشرج,تربة,https://ehsan.sa/projects/0/47612?amount=null,صفر
435,P48608,دعم المقبلين على الزواج,250000,2024-08-10,50,المواطنون,22162,الجمعية الخيرية لمساعدة الشباب على الزواج والتوجيه الأسري بجدة,جدة,https://ehsan.sa/projects/0/47609?amount=null,صفر
436,P48609,رحلات العمرة للمتعففين,100000,2024-08-09,500,المواطنون والمقيمون بالمملكة,9226,ركين لإعانة الحاج والمعتمر,الخرج,https://ehsan.sa/projects/0/47610?amount=null,صفر
437,P48622,الزي المدرسي للطلاب المتعففين,250000,2024-08-09,500,المواطنون,17578,جمعية التنمية الأهلية بعياش,أبي عريش,https://ehsan.sa/projects/0/47623?amount=null,صفر
438,P48627,سقيا الماء لضيوف الرحمن,280000,2024-08-09,500000,المواطنون والمقيمون بالمملكة,30312,جمعية اليقظة النسائية الخيرية,مكة المكرمة,https://ehsan.sa/projects/0/47628?amount=null,صفر
439,P48621,دعم حلقات تحفيظ القرآن الكريم,180000,2024-08-08,25,المواطنون,23416,الجمعية الخيرية لتحفيظ القرآن الكريم بالمهد,المهد,https://ehsan.sa/projects/0/47622?amount=null,صفر
440,P48612,سقيا الماء لضيوف الرحمن,500000,2024-08-08,250000,المواطنون والمقيمون بالمملكة,52333,جمعية البر الخيرية بالليث,مكة المكرمة,https://ehsan.sa/projects/0/47613?amount=null,صفر
441,P48597,ترميم مساكن الأسر المتعففة,200000,2024-08-08,20,المواطنون والمقيمون بالمملكة,13931,جميعة تنمية جازان,جازان,https://ehsan.sa/projects/0/47598?amount=null,صفر
442,P48615,المستلزمات المدرسية للطلاب المتعففين,90000,2024-08-07,200,المواطنون,8084,جمعية خبرات التعليمية بمركز الحكامية,الحكامية,https://ehsan.sa/projects/0/47620?amount=null,صفر
443,P48620,تفريج كرب الأسر المتعففة,300000,2024-08-07,200,المواطنون,22615,جمعية البر والخدمات الاجتماعية بينبع النخل,ينبع النخيل,https://ehsan.sa/projects/0/47621?amount=null,صفر
444,P48613,كفالة حلقات تحفيظ القرآن الكريم,150000,2024-08-06,50,المواطنون والمقيمون بالمملكة,12745,الجمعية الخيرية لتحفيظ القرآن الكريم بمحافظة بلقرن,بلقرن,https://ehsan.sa/projects/0/47614?amount=null,صفر
445,P48614,الحقيبة المدرسية للطلاب المتعففين,85500,2024-08-05,570,المواطنون,6766,جمعية البر الخيرية بوادي ليه,الطائف,https://ehsan.sa/projects/0/47615?amount=null,صفر
446,P48607,تفريج كرب الأسر المتعففة,252000,2024-08-05,84,المواطنون,15390,جمعية البر الخيرية بالخنقة,الخنقة,https://ehsan.sa/projects/0/47608?amount=null,صفر
447,P48605,كفالة الأرامل والمطلقات,100000,2024-08-05,10,المواطنون,412,جمعية البر الخيرية بجلاجل,جلاجل,https://ehsan.sa/projects/0/47606?amount=null,صفر
448,P48601,دعم الأسر المتعففة,370200,2024-08-03,141,المواطنون,23164,جمعية البر الخيرية بمركز الأحمر,الأحمر,https://ehsan.sa/projects/0/47602?amount=null,محرم
449,P48499,تمكين المطلقات والأرامل,300000,2024-08-03,50,المواطنون,22408,جمعية ماجد بن عبدالعزيز للتنمية الاجتماعية,جدة,https://ehsan.sa/projects/0/47500?amount=null,محرم
450,P48587,سداد إيجار منازل الأسر المتعففة,300000,2024-08-03,16,المواطنون,17214,جمعية الريان الخيرية بوادي جازان,الريان,https://ehsan.sa/projects/0/47588?amount=null,محرم
451,P48409,تمكين الأمهات ومربيات الأطفال,500500,2024-08-02,143,المواطنون والمقيمون بالمملكة,40786,جمعية رعاية الطفولة,الرياض,https://ehsan.sa/projects/0/47410?amount=null,محرم
452,P48515,إعانة طلاب المرحلة الجامعية,400000,2024-08-02,154,المواطنون,39399,جمعية القطيف الخيرية,القطيف,https://ehsan.sa/projects/0/47516?amount=null,محرم
453,P48603,سقيا الماء للمتعففين,450000,2024-08-02,500000,المواطنون والمقيمون بالمملكة,33808,جمعية جوار لشؤون الموتى بقلوة,قلوة,https://ehsan.sa/projects/0/47604?amount=null,محرم
454,P48598,السلال الغذائية للأسر المتعففة,400000,2024-08-02,1839,المواطنون والمقيمون بالمملكة,26245,جمعية فائض للمساعدات العينية بعنيزة,عنيزة,https://ehsan.sa/projects/0/47599?amount=null,محرم
455,P48581,دعم المقبلين على الزواج,290000,2024-08-02,29,المواطنون,18245,جمعية ابن باز للتنمية الأسرية,الرياض,https://ehsan.sa/projects/0/47582?amount=null,محرم
456,P48602,تفريج كرب الأسر المتعففة,350000,2024-08-02,112,المواطنون,18625,جمعية التيسير لموقوفي الخدمات,بيشة,https://ehsan.sa/projects/0/47603?amount=null,محرم
457,P48604,دعم حلقات تحفيظ القرآن الكريم,247500,2024-08-02,55,المواطنون,21660,الجمعية الخيرية لتحفيظ القرآن الكريم بالبدائع,البدائع,https://ehsan.sa/projects/0/47605?amount=null,محرم
458,P48594,إكرام الموتى,150000,2024-08-02,200,المواطنون والمقيمون بالمملكة,10251,جمعية اكرام الموتى بسراة عبيدة,سراة عبيدة,https://ehsan.sa/projects/0/47595?amount=null,محرم
459,P48592,تفريج كرب الأسر المتعففة,150000,2024-08-01,150,المواطنون,5985,جمعية البر الخيرية بالسويرقية,السويرقية,https://ehsan.sa/projects/0/47594?amount=null,محرم
460,P48599,سقيا الماء لضيوف الرحمن,500000,2024-08-01,500000,المواطنون والمقيمون بالمملكة,41205,جمعية البر الخيرية بالحوية,السيل الكبير,https://ehsan.sa/projects/0/47600?amount=null,محرم
461,P48595,التكفل بالعمرة للجاليات,34300,2024-07-31,98,المواطنون والمقيمون بالمملكة,2525,جمعية الدعوة والإرشاد وتوعية الجاليات بمحافظة القطيف,النابية,https://ehsan.sa/projects/0/47596?amount=null,محرم
462,P48596,جلسات كيماوي عاجلة لمريض متعفف,31304,2024-07-30,1,المقيمون بالمملكة,1649,جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47597?amount=null,محرم
463,P48589,ترميم مساكن الأسر المتعففة,380950,2024-07-30,13,المواطنون,20429,الجمعية الخيرية بخميس حرب,خميس حرب,https://ehsan.sa/projects/0/47590?amount=null,محرم
464,P48582,كفالة الأرامل والمطلقات,234000,2024-07-30,39,المواطنون,14885,جمعية البر الخيرية بالدليمية,الدليمية,https://ehsan.sa/projects/0/47583?amount=null,محرم
465,P48585,العمليات الجراحية لكبار السن,250000,2024-07-29,10,المواطنون والمقيمون بالمملكة,17725,الجمعية الصحية التطوعية في الزلفي,الزلفي,https://ehsan.sa/projects/0/47586?amount=null,محرم
466,P48590,السلال الغذائية للأسر المتعففة,228000,2024-07-29,76,المواطنون,12172,جمعية فيض العطاء,أملج,https://ehsan.sa/projects/0/47591?amount=null,محرم
467,P48588,تأثيث منازل المتعففين,150000,2024-07-28,15,المواطنون,9403,جمعية البر الخيرية بالشفية,بدر,https://ehsan.sa/projects/0/47589?amount=null,محرم
468,P48586,استبدال الصمام الأورطي لمريض متعفف,72000,2024-07-28,1,المواطنون والمقيمون بالمملكة,4320,جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47587?amount=null,محرم
469,P48583,رعاية كبار السن المكفوفين,216000,2024-07-28,18,المواطنون,15269,جمعية الثريا للمكفوفين,جازان,https://ehsan.sa/projects/0/47584?amount=null,محرم
470,P48580,تفريج كرب المتعففين,30000,2024-07-27,10,المواطنون,2210,الجمعية الأهلية للزواج والتنمية الأسرية بالبكيرية,البكيرية,https://ehsan.sa/projects/0/47581?amount=null,محرم
471,P48573,رحلات العمرة للمتعففين,260925,2024-07-27,735,المواطنون والمقيمون بالمملكة,24005,جمعية الدعوة والإرشاد وتوعية الجاليات بشرورة,شرورة,https://ehsan.sa/projects/0/47574?amount=null,محرم
472,P48591,سقيا الماء للأسر المتعففة,150000,2024-07-27,500,المواطنون,12524,جمعية التنمية الأهلية بمركز القوبا,بيشة,https://ehsan.sa/projects/0/47592?amount=null,محرم
473,P48546,كسوة الأسر المتعففة,200000,2024-07-26,80,المواطنون,16732,جمعية التنمية الأهلية بمزهرة,الحكامية,https://ehsan.sa/projects/0/47547?amount=null,محرم
